Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NCX,TMCFGRNZM20AUG2026,5,10,TMCFGRNZM,TMCFGRNZM20AUG2026,20-AUG-2026,FUTCOM,XX,-0.01,2,
NCX,KAPAS26FEB2027,1,200,KAPAS,KAPAS26FEB2027,26-FEB-2027,FUTCOM,XX,-0.01,0.5,
NCX,KAPAS30NOV2026,1,200,KAPAS,KAPAS30NOV2026,30-NOV-2026,FUTCOM,XX,-0.01,0.5,
NCX,GUARSEED1020AUG2026,5,10,GUARSEED10,GUARSEED1020AUG2026,20-AUG-2026,FUTCOM,XX,-0.01,1,
NCX,GUARGUM520AUG2026,5,10,GUARGUM5,GUARGUM520AUG2026,20-AUG-2026,FUTCOM,XX,-0.01,1,
NCX,DHANIYA20AUG2026,5,10,DHANIYA,DHANIYA20AUG2026,20-AUG-2026,FUTCOM,XX,-0.01,2,
NCX,COTTON19FEB2027,1,25,COTTON,COTTON19FEB2027,19-FEB-2027,FUTCOM,XX,-0.01,10,
NCX,COTTON20NOV2026,1,25,COTTON,COTTON20NOV2026,20-NOV-2026,FUTCOM,XX,-0.01,10,
